あきのよの こころをつくす はしめとて ほのかにみゆる ゆふつくよかな
あきのよの しくれてわたる むらくもに たえたえはるる やまのはのつき
あきのよの ちよをひとよに なせりとも ことはのこりて とりやなきなむ
あきのよの つきとたのめし ひとことに ふゆのそらまて なかめつるかな
あきのよの つきにかさなる くもはれて ひかりさやかに みるよしもかな
あきのよの つきにこころは あくかれて くもゐにものを おもふころかな
あきのよの つきにやはらふ わたつみと あれにしままの とこのうらかせ
あきのよの つきのこほりの なとりかは なきなあらはす なみのおとかな
あきのよの つきのひかりの もるやまは このしたかけも さやけかりけり
あきのよの つきはいつくと わかねとも わかやまにすむ かけそさやけき
あきのよの つきみるとのみ おきゐつつ こよひもねてや われはかへらむ
あきのよの つきやをしまの あまのはら あけかたちかき おきのつりふね
あきのよの つゆもくもらぬ つきをみて おきところなき わかこころかな
あきのよの つゆをはつゆと おきなから かりのなみたや のへをそむらむ
あきのよの なかきおもひは おいかみの ねさめよりこそ まつしられけれ
あきのよの なかきおもひを いかかせむ つきになくさむ こころならすは
あきのよの なかきほとをや たのむらむ いてていそかぬ やまのはのつき
あきのよの ふかきあはれは ありあけの つきみしよりそ しくれそめにし
あきのよは おなしをのへに なくしかの ふけゆくままに ちかくなるかな
あきのよは ころもさむしろ かさねても つきのひかりに しくものそなき
あきのよは せきのとさしも ゆるさなむ ゆきとまるへき つきのかけかは
あきのよは たれまちこひて おほともの みつのとまりに ころもうつらむ
あきのよは つゆこそことに さむからし くさむらことに むしのわふれは
あきのよは つらきところも さそなけに おほかるのへの まつむしのこゑ
あきのよは ひとまつとしも なけれとも をきのはかせに おとろかれつつ
あきのよは ひらのやまかせ さえねとも つきにそこほる しかのうらなみ
あきのよは やとかるつきも つゆなから そてにふきこす をきのうはかせ
あきのよも あまたたひねの くさまくら つゆよりつゆに むすひそへつつ
あきのよも ややふけにけり やまとりの をろのはつをに かかるつきかけ
あきのよや あまのかはせは こほるらむ つきのひかりの さえまさるかな
あきのよを いまはとかへる ゆふくれは なくむしのねそ かなしかりける
あきのよを ひとりやなきて あかさまし ともなふむしの こゑなかりせは
あきのよを まとろますのみ あかすみは ゆめちとたにそ たのまさりける
あきはいぬ かせにこのはは ちりはてて やまさひしかる ふゆはきにけり
あきはきに おきたるつゆの かせふきて おつるなみたを ととめかねつも
あきはきに みたるるつゆは なくしかの こゑよりおつる なみたなりけり
あきはきぬ しかはをのへに こゑたてつ よはのねさめを とふひとはなし
あきはきぬ としもなかはに すきぬとや をきふくかせの おとろかすらむ
あきはきぬ ひとはつれなし いまよりの なかきよさむに まちつつやねむ
あきはきぬ ゆくへもしらぬ なけきかな たのめしことは このはふりつつ
あきはきの うつろふのへの かりいほに たれいねかての ころもうつらむ
あきはきの えたもとををに おくつゆの けさきえぬとも いろにいてめや
あきはきの えたもとををに なりゆくは しらつゆおもく おけはなりけり
あきはきの さきてちりぬる ゆふつゆに なほたちぬれて しかそなくなる
あきはきの さくやはなのの つゆわけて ころもにすらむ ひとなとかめそ
あきはきの したにかよひし しかのねも いまはかひなく なりやしぬらむ
あきはきの したはにつけて めにちかく よそなるひとの こころをそみる
あきはきの したははよそに みしかとも ひとりねむとは おもはさりしを
あきはきの つゆちるはなの すりころも うつろふつきも かけそみたるる
あきはきの はなさきにけり たかさこの をのへのしかは いまやなくらむ
あきはきの はなすりころも うちしをれ ゆくてにかかる のへのゆふつゆ
あきはきの はなののすすき ほにいてす わかこひわたる かくれつまはも
あきはきの ふるえにさける はなみれは もとのこころは わすれさりけり
あきはきは さかりすくるを いたつらに かさしにささて かへりなむとや
あきはきも いろつきぬれは きりきりす わかねぬことや よるはかなしき
あきはきを いろとるかせの ふきぬれは ひとのこころも うたかはれけり
あきはきを くさのまくらに むすふよは ちかくもしかの こゑをきくかな
あきはきを しからみふせて なくしかの めにはみえすて おとのさやけさ
あきはけふ くれなゐくくる たつたかは ゆくせのなみも いろかはるらむ
あきはたた けふはかりそと なかむれは ゆふくれにさへ なりにけるかな
あきはたた ものおもへとや をきのはの かせもみにしむ ゆふへなるらむ
あきはつる かとたのなるこ いつまてと ひくひともなき よにのこるらむ
あきはつる さよふけかたの つきみれは そてものこらす つゆそおきける
